Goal,Summary/abstract,Site name,Site location,Cruise or expedition,Collection method,Collection date,Chronological details,Environmental setting,Depositional setting,Links to ancilary data,Repository,Storage,Preparation,Sieve mesh size and unit,Mounting medium,Size of coverslip,Counting method,Count magnification,Count marker,Marker details,Taxonomic concept,Lumping explanation,Variant mapping explanation,Highest taxonomic resolution,Unique names,Group specific requirements,Link parallel taxonomies,Link to external ontology,Zero abundances,Unidentified specimens,Indication of completeness,Reworked,Source,Contributor,Institution,Project,Funder,Addition1,Size fraction incl. unit,Specimen state,Sample preservation,Sample mass incl. unit,Dry bulk density incl. unit,Sample_addition,Top and bottom depth incl. unit,Sedimentary unit,Sample ID,Sample age and unit,Raw counts,Raw_explanation,Qualitative classification,Data_addition,Final,Career,Fossil_group,Continent
Recommended,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Essential,Recommended,Desired,Recommended,Desired,Desired,Desired,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Essential,Desired,Recommended,Recommended,Recommended,Essential,Essential,Essential,Recommended,Recommended,NA,Desired,Recommended,Desired,Desired,Desired,NA,Recommended,Desired,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Europe
Recommended,Recommended,Recommended,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Essential,Desired,Desired,Essential,Essential,Essential,Recommended,Yes,Essential,NA,NA,Recommended,Desired,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,NA,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Recommended,NA,NA,ECR,Planktonic foraminifera,Europe
Essential,Desired,Essential,Essential,Desired,Recommended,Desired,Recommended,Desired,Desired,Recommended,Desired,Desired,Essential,Desired,NA,NA,Recommended,Desired,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Essential,Desired,Desired,Desired,Desired,NA,Essential,Essential,Desired,Desired,Desired,NA,Essential,Desired,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Recommended,Recommended,Essential,Recommended,Desired,Essential,Essential,Desired,Essential,Recommended,Recommended,Desired,Essential,Essential,Essential,Yes,Recommended,Essential,Recommended,Recommended,Essential,Recommended,Essential,Desired,Essential,Essential,NA,NA,Essential,Taxinomic framework was used,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Desired,Essential,Essential,Yes,But also include the derived..,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Desired,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Essential,Desired,Recommended,Essential,Desired,Desired,Recommended,Recommended,Desired,Desired,Essential,Essential,Essential,Yes,Essential,Desired,Desired,Recommended,Essential,Essential,Essential,Desired,Essential,Essential,Essential,Desired,Desired,NA,Essential,Recommended,Recommended,Desired,Desired,NA,Essential,Desired,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Planktonic foraminifera,North America
Desired,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Yes,Essential,Essential,Essential,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Desired,Desired,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Recommended,NA,NA,ER,Other,Europe
Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Yes,Recommended,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Desired,Desired,Desired,"Always include photos of the species informed during the counting, present raw data of the counts, normalization data (dry weight, flow and size of net, etc). Do a international esfort to outreach micropaleo fair to follow the protocol in all micro and oceanography community, specially for new generation and people in industry.",Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,Photo of the microfossils counted,NA,ECR,Benthic foraminifera,Europe
Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Yes,Essential,Essential,Essential,Recommended,Desired,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Recommended,Essential,Essential,NA,Essential,Recommended,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Desired,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Essential,Desired,Recommended,Recommended,Recommended,Desired,Recommended,Essential,Desired,Desired,Essential,Desired,Desired,Desired,Essential,Essential,Essential,Yes,Essential,NA,NA,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Desired,Desired,Desired,NA,Essential,Recommended,Essential,Recommended,Desired,NA,Essential,Desired,Essential,Essential,Yes,NA,Essential,"For age, it should also state which timescale and/or zonation used",NA,ER,Planktonic foraminifera,Europe
Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,No,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Essential,Recommended,Essential,Recommended,NA,Essential,Recommended,Essential,Essential,Yes,"I'd choose a third option that both should be archived. Derived as they may have been used as such in a publication, raw for having the original counts.",Essential,Essential,NA,ER,Planktonic foraminifera,Asia
Essential,Essential,Essential,Essential,Essential,Essential,Desired,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Yes,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Recommended,Essential,Essential,Desired,Desired,Desired,NA,Essential,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Essential,Essential,Yes,NA,Recommended,NA,NA,ER,Coccolithophores,Europe
Desired,Desired,Recommended,Essential,Essential,Essential,Recommended,Desired,Desired,Desired,Desired,Desired,Essential,Essential,Essential,Desired,Desired,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Yes,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Recommended,Desired,Desired,Desired,NA,Essential,Recommended,Desired,Recommended,Desired,NA,Essential,Desired,Essential,Recommended,Yes,NA,Essential,NA,"There should have been one more option for the level of importance below ""desired""...such as ""I do not care at all"". I would have applied this to ""The size of cover slip used"" which i either do not understand at all or simply cannot see any connection to a count.",ER,Planktonic foraminifera,Europe
Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Yes,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Desired,NA,Essential,Recommended,Essential,Recommended,Recommended,NA,Essential,Recommended,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,North America
Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Desired,Essential,Essential,Essential,Recommended,Essential,Essential,Desired,Desired,Desired,NA,Essential,Essential,Essential,Essential,Recommended,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Recommended,Recommended,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Desired,Desired,Recommended,Desired,Recommended,Essential,Essential,Desired,Desired,Desired,NA,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Recommended,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Europe
